Order ID,Order Date,Product ID,Category,Product Subcategory,Sales,Quantity,Discount,Profit
CA-2017-152156,11/8/2017,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0,41.9136
CA-2017-152156,11/8/2017,FUR-CH-10000454,Furniture,Chairs,731.94,3,0,219.582
CA-2017-138688,6/12/2017,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0,6.8714
US-2016-108966,10/11/2016,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031
US-2016-108966,10/11/2016,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164
CA-2015-115812,6/9/2015,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0,14.1694
CA-2015-115812,6/9/2015,OFF-AR-10002833,Office Supplies,Art,7.28,4,0,1.9656
CA-2015-115812,6/9/2015,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152
CA-2015-115812,6/9/2015,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825
CA-2015-115812,6/9/2015,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0,34.47
CA-2015-115812,6/9/2015,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092
CA-2015-115812,6/9/2015,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568
CA-2018-114412,4/15/2018,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432
CA-2017-161389,12/5/2017,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922
US-2016-118983,11/22/2016,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858
US-2016-118983,11/22/2016,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816
CA-2015-105893,11/11/2015,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0,13.3176
CA-2015-167164,5/13/2015,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0,9.99
CA-2015-143336,8/27/2015,OFF-AR-10003056,Office Supplies,Art,8.56,2,0,2.4824
CA-2015-143336,8/27/2015,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011
CA-2015-143336,8/27/2015,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384
CA-2017-137330,12/9/2017,OFF-AR-10000246,Office Supplies,Art,19.46,7,0,5.0596
CA-2017-137330,12/9/2017,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0,15.6884
US-2018-156909,7/16/2018,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196
CA-2016-106320,9/25/2016,FUR-TA-10000577,Furniture,Tables,1044.63,3,0,240.2649
CA-2017-121755,1/16/2017,OFF-BI-10001634,Office Supplies,Binders,11.648,2,0.2,4.2224
CA-2017-121755,1/16/2017,TEC-AC-10003027,Technology,Accessories,90.57,3,0,11.7741
US-2016-150630,9/17/2016,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
US-2016-150630,9/17/2016,OFF-BI-10000474,Office Supplies,Binders,9.618,2,0.7,-7.0532
US-2016-150630,9/17/2016,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525
US-2016-150630,9/17/2016,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,0.2,1.1016
US-2016-150630,9/17/2016,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.7092
US-2016-150630,9/17/2016,OFF-BI-10001525,Office Supplies,Binders,6.858,6,0.7,-5.715
US-2016-150630,9/17/2016,OFF-AR-10001683,Office Supplies,Art,15.76,2,0.2,3.546
CA-2018-107727,10/19/2018,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468
CA-2017-117590,12/8/2017,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737
CA-2017-117590,12/8/2017,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963
CA-2016-117415,12/27/2016,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,0.2,35.415
CA-2016-117415,12/27/2016,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764
CA-2016-117415,12/27/2016,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147
